participant_id,group,task,week,evidence_quality_score,time_minutes,error_count
P011,Baseline workflow,Experiment reproduction,1,65.26,90.87,2
P011,Baseline workflow,Experiment reproduction,2,64.52,80.88,3
P011,Baseline workflow,Experiment reproduction,3,65.24,89.62,0
P011,Baseline workflow,Experiment reproduction,4,65.09,84.41,2
P011,Baseline workflow,Paper argumentation,0,59.5,86.02,2
P011,Baseline workflow,Paper argumentation,1,54.82,83.12,7
P011,Baseline workflow,Paper argumentation,2,59.79,74.17,4
P011,Baseline workflow,Paper argumentation,3,58.13,84.09,2
P011,Baseline workflow,Paper argumentation,4,73.22,67.18,0
P012,Light-assisted workflow,Literature mapping,0,54.84,71.11,2
P012,Light-assisted workflow,Literature mapping,1,53.19,65.63,4
P012,Light-assisted workflow,Literature mapping,2,66.94,60.97,6
P012,Light-assisted workflow,Literature mapping,3,72.61,63.19,5
P012,Light-assisted workflow,Literature mapping,4,75.14,59.12,3
P012,Light-assisted workflow,Experiment reproduction,0,53.78,108.74,3
P012,Light-assisted workflow,Experiment reproduction,1,60.3,93.78,4
P012,Light-assisted workflow,Experiment reproduction,2,62.18,78.88,0
P012,Light-assisted workflow,Experiment reproduction,3,67.12,86.41,4
P012,Light-assisted workflow,Experiment reproduction,4,67.23,58.8,3
P012,Light-assisted workflow,Paper argumentation,0,60.66,86.2,3
P012,Light-assisted workflow,Paper argumentation,1,52.27,90.13,4
P012,Light-assisted workflow,Paper argumentation,2,57.41,87.87,7
P012,Light-assisted workflow,Paper argumentation,3,70.75,74.03,7
P012,Light-assisted workflow,Paper argumentation,4,68.11,73.9,4
P013,Light-assisted workflow,Literature mapping,0,59.41,60.6,5
P013,Light-assisted workflow,Literature mapping,1,65.56,58.6,6
P013,Light-assisted workflow,Literature mapping,2,76.43,55.93,3
P013,Light-assisted workflow,Literature mapping,3,72.03,56.44,0
P013,Light-assisted workflow,Literature mapping,4,83.17,56.3,2
P013,Light-assisted workflow,Experiment reproduction,0,45.42,101.34,4
P013,Light-assisted workflow,Experiment reproduction,1,55.87,88.26,2
P013,Light-assisted workflow,Experiment reproduction,2,61.13,91.64,6
P013,Light-assisted workflow,Experiment reproduction,3,72.32,73.08,4
P013,Light-assisted workflow,Experiment reproduction,4,72.46,79.75,4
P013,Light-assisted workflow,Paper argumentation,0,51.94,79.94,6
P013,Light-assisted workflow,Paper argumentation,1,51.7,84.79,2
P013,Light-assisted workflow,Paper argumentation,2,56.43,77.41,4
P013,Light-assisted workflow,Paper argumentation,3,64.8,62.94,3
P013,Light-assisted workflow,Paper argumentation,4,74.03,53.55,5
P014,Light-assisted workflow,Literature mapping,0,65.04,73.3,3
P014,Light-assisted workflow,Literature mapping,1,78.4,65.29,2
P014,Light-assisted workflow,Literature mapping,2,77.18,72.61,5
P014,Light-assisted workflow,Literature mapping,3,84.38,57.0,1
P014,Light-assisted workflow,Literature mapping,4,96.41,49.94,2
P014,Light-assisted workflow,Experiment reproduction,0,59.49,86.58,1
P014,Light-assisted workflow,Experiment reproduction,1,62.71,79.07,1
P014,Light-assisted workflow,Experiment reproduction,2,67.19,71.45,4
P014,Light-assisted workflow,Experiment reproduction,3,76.1,93.45,1
P014,Light-assisted workflow,Experiment reproduction,4,79.98,82.71,3
P014,Light-assisted workflow,Paper argumentation,0,61.43,92.67,7
P014,Light-assisted workflow,Paper argumentation,1,53.24,82.33,4
P014,Light-assisted workflow,Paper argumentation,2,73.03,67.79,1
P014,Light-assisted workflow,Paper argumentation,3,65.17,66.3,4
P014,Light-assisted workflow,Paper argumentation,4,76.11,74.09,2
P015,Light-assisted workflow,Literature mapping,0,48.91,81.17,2
P015,Light-assisted workflow,Literature mapping,1,54.03,67.07,3
P015,Light-assisted workflow,Literature mapping,2,55.52,71.37,3
P015,Light-assisted workflow,Literature mapping,3,70.11,65.57,4
P015,Light-assisted workflow,Literature mapping,4,76.13,57.51,2
P015,Light-assisted workflow,Experiment reproduction,0,36.76,96.38,1
P015,Light-assisted workflow,Experiment reproduction,1,51.61,84.48,9
P015,Light-assisted workflow,Experiment reproduction,2,49.87,85.92,1
P015,Light-assisted workflow,Experiment reproduction,3,56.04,87.22,2
P015,Light-assisted workflow,Experiment reproduction,4,65.21,86.68,1
P015,Light-assisted workflow,Paper argumentation,0,44.69,87.5,10
P015,Light-assisted workflow,Paper argumentation,1,52.6,78.33,4
P015,Light-assisted workflow,Paper argumentation,2,46.96,83.66,2
P015,Light-assisted workflow,Paper argumentation,3,54.06,75.4,3
P015,Light-assisted workflow,Paper argumentation,4,62.36,62.59,2
P016,Baseline workflow,Literature mapping,0,60.76,71.72,7
P016,Baseline workflow,Literature mapping,1,62.12,66.17,6
P016,Baseline workflow,Literature mapping,2,63.16,64.53,5
P016,Baseline workflow,Literature mapping,3,63.43,63.51,2
P016,Baseline workflow,Literature mapping,4,77.04,56.33,3
P016,Baseline workflow,Experiment reproduction,0,45.56,96.36,3
P016,Baseline workflow,Experiment reproduction,1,49.53,93.03,4
P016,Baseline workflow,Experiment reproduction,2,60.06,76.07,6
P016,Baseline workflow,Experiment reproduction,3,59.47,67.09,4
P016,Baseline workflow,Experiment reproduction,4,63.97,71.61,5
P016,Baseline workflow,Paper argumentation,0,48.2,87.54,2
P016,Baseline workflow,Paper argumentation,1,54.71,87.61,4
P016,Baseline workflow,Paper argumentation,2,57.75,80.83,1
P016,Baseline workflow,Paper argumentation,3,62.3,69.84,2
P016,Baseline workflow,Paper argumentation,4,68.72,77.92,6
P017,Baseline workflow,Literature mapping,0,49.57,63.57,3
P017,Baseline workflow,Literature mapping,1,52.42,66.57,2
P017,Baseline workflow,Literature mapping,2,60.67,68.05,4
P017,Baseline workflow,Literature mapping,3,64.2,65.85,5
P017,Baseline workflow,Literature mapping,4,78.23,57.82,3
P017,Baseline workflow,Experiment reproduction,0,54.21,103.7,5
P017,Baseline workflow,Experiment reproduction,1,55.96,86.88,3
P017,Baseline workflow,Experiment reproduction,2,61.29,90.54,0
P017,Baseline workflow,Experiment reproduction,3,65.88,94.83,1
P017,Baseline workflow,Experiment reproduction,4,66.45,73.02,2
P017,Baseline workflow,Paper argumentation,0,54.28,84.47,6
P017,Baseline workflow,Paper argumentation,1,57.95,80.36,5
P017,Baseline workflow,Paper argumentation,2,61.9,86.35,1
P017,Baseline workflow,Paper argumentation,3,64.94,77.2,1
P017,Baseline workflow,Paper argumentation,4,71.96,66.25,5
P018,Light-assisted workflow,Literature mapping,0,64.49,70.56,5
P018,Light-assisted workflow,Literature mapping,1,67.49,61.8,7
P018,Light-assisted workflow,Literature mapping,2,74.26,57.41,4
P018,Light-assisted workflow,Literature mapping,3,76.44,66.98,2
P018,Light-assisted workflow,Literature mapping,4,86.24,56.29,4
P018,Light-assisted workflow,Experiment reproduction,0,54.7,92.18,1
P018,Light-assisted workflow,Experiment reproduction,1,53.47,87.03,3
P018,Light-assisted workflow,Experiment reproduction,2,61.11,89.1,5
P018,Light-assisted workflow,Experiment reproduction,3,69.34,80.23,6
P018,Light-assisted workflow,Experiment reproduction,4,71.78,86.29,2
P018,Light-assisted workflow,Paper argumentation,0,43.64,85.56,3
P018,Light-assisted workflow,Paper argumentation,1,55.04,75.39,4
P018,Light-assisted workflow,Paper argumentation,2,61.56,73.76,2
P018,Light-assisted workflow,Paper argumentation,3,70.64,67.51,2
P018,Light-assisted workflow,Paper argumentation,4,69.67,65.09,4
P019,Light-assisted workflow,Literature mapping,0,70.87,76.65,2
P019,Light-assisted workflow,Literature mapping,1,64.37,64.82,4
P019,Light-assisted workflow,Literature mapping,2,80.24,63.05,0
P019,Light-assisted workflow,Literature mapping,3,83.46,59.4,5
P019,Light-assisted workflow,Literature mapping,4,81.72,50.17,0
P019,Light-assisted workflow,Experiment reproduction,0,66.56,91.76,1
P019,Light-assisted workflow,Experiment reproduction,1,60.65,86.85,2
P019,Light-assisted workflow,Experiment reproduction,2,71.1,86.58,1
P019,Light-assisted workflow,Experiment reproduction,3,70.0,82.34,1
P019,Light-assisted workflow,Experiment reproduction,4,82.29,59.75,4
P019,Light-assisted workflow,Paper argumentation,0,57.9,85.3,5
P019,Light-assisted workflow,Paper argumentation,1,68.56,89.28,2
P019,Light-assisted workflow,Paper argumentation,2,69.05,77.58,1
P019,Light-assisted workflow,Paper argumentation,3,77.51,78.32,5
P019,Light-assisted workflow,Paper argumentation,4,77.26,58.8,2
P020,Light-assisted workflow,Literature mapping,0,52.28,68.27,2
P020,Light-assisted workflow,Literature mapping,1,52.65,70.53,2
P020,Light-assisted workflow,Literature mapping,2,59.16,67.35,3
P020,Light-assisted workflow,Literature mapping,3,74.76,48.52,0
P020,Light-assisted workflow,Literature mapping,4,77.88,51.22,3
P020,Light-assisted workflow,Experiment reproduction,0,48.24,93.77,2
P020,Light-assisted workflow,Experiment reproduction,1,55.37,90.35,2
P020,Light-assisted workflow,Experiment reproduction,2,52.27,86.72,0
P020,Light-assisted workflow,Experiment reproduction,3,61.92,76.91,2
P020,Light-assisted workflow,Experiment reproduction,4,72.45,76.17,5
P020,Light-assisted workflow,Paper argumentation,0,50.83,91.27,6
P020,Light-assisted workflow,Paper argumentation,1,57.4,76.59,1
P020,Light-assisted workflow,Paper argumentation,2,61.47,79.64,2
P020,Light-assisted workflow,Paper argumentation,3,62.06,71.35,7
P020,Light-assisted workflow,Paper argumentation,4,68.56,56.62,2
P021,Baseline workflow,Literature mapping,0,55.77,74.75,4
P021,Baseline workflow,Literature mapping,1,59.22,75.52,4
P021,Baseline workflow,Literature mapping,2,62.11,73.44,4
P021,Baseline workflow,Literature mapping,3,70.63,65.68,4
P021,Baseline workflow,Literature mapping,4,71.85,61.36,5
P021,Baseline workflow,Experiment reproduction,0,48.33,94.43,1
P021,Baseline workflow,Experiment reproduction,1,55.42,82.11,3
P021,Baseline workflow,Experiment reproduction,2,58.83,99.91,3
P021,Baseline workflow,Experiment reproduction,3,57.16,78.37,0
P021,Baseline workflow,Experiment reproduction,4,61.44,83.31,2
P021,Baseline workflow,Paper argumentation,0,57.25,92.23,1
P021,Baseline workflow,Paper argumentation,1,53.31,83.46,2
P021,Baseline workflow,Paper argumentation,2,62.27,75.97,2
P021,Baseline workflow,Paper argumentation,3,63.38,65.91,5
P021,Baseline workflow,Paper argumentation,4,68.0,70.67,3
P022,Light-assisted workflow,Literature mapping,0,54.64,69.99,5
P022,Light-assisted workflow,Literature mapping,1,64.06,66.14,2
P022,Light-assisted workflow,Literature mapping,2,74.44,69.68,2
P022,Light-assisted workflow,Literature mapping,3,73.63,62.98,2
P022,Light-assisted workflow,Literature mapping,4,79.33,59.19,4
P022,Light-assisted workflow,Experiment reproduction,0,58.65,94.81,4
P022,Light-assisted workflow,Experiment reproduction,1,62.49,91.67,1
P022,Light-assisted workflow,Experiment reproduction,2,65.44,85.52,2
P022,Light-assisted workflow,Experiment reproduction,3,73.71,69.07,2
P022,Light-assisted workflow,Experiment reproduction,4,77.8,69.39,1
P022,Light-assisted workflow,Paper argumentation,0,51.5,84.5,4
P022,Light-assisted workflow,Paper argumentation,1,60.59,90.14,5
P022,Light-assisted workflow,Paper argumentation,2,67.61,82.09,2
P022,Light-assisted workflow,Paper argumentation,3,71.03,72.28,4
P022,Light-assisted workflow,Paper argumentation,4,74.79,69.06,4
P023,Baseline workflow,Literature mapping,0,53.21,85.58,3
P023,Baseline workflow,Literature mapping,1,65.61,67.71,4
P023,Baseline workflow,Literature mapping,2,63.44,59.11,4
P023,Baseline workflow,Literature mapping,3,71.52,59.31,4
P023,Baseline workflow,Literature mapping,4,76.01,61.86,4
P023,Baseline workflow,Experiment reproduction,0,54.83,82.55,3
P023,Baseline workflow,Experiment reproduction,1,54.56,83.93,4
P023,Baseline workflow,Experiment reproduction,2,62.8,83.44,3
P023,Baseline workflow,Experiment reproduction,3,65.2,78.27,5
P023,Baseline workflow,Experiment reproduction,4,66.61,76.58,3
P023,Baseline workflow,Paper argumentation,0,55.34,88.38,3
P023,Baseline workflow,Paper argumentation,1,58.73,81.72,9
P023,Baseline workflow,Paper argumentation,2,67.83,74.97,2
P023,Baseline workflow,Paper argumentation,3,69.35,70.44,4
P023,Baseline workflow,Paper argumentation,4,73.17,74.45,5
P024,Light-assisted workflow,Literature mapping,0,65.21,66.94,4
P024,Light-assisted workflow,Literature mapping,1,70.83,66.9,6
P024,Light-assisted workflow,Literature mapping,2,77.37,51.88,2
P024,Light-assisted workflow,Literature mapping,3,84.84,62.9,2
P024,Light-assisted workflow,Literature mapping,4,86.44,46.89,3
P024,Light-assisted workflow,Experiment reproduction,0,61.85,84.07,2
P024,Light-assisted workflow,Experiment reproduction,1,69.14,90.07,4
P024,Light-assisted workflow,Experiment reproduction,2,71.7,72.11,4
P024,Light-assisted workflow,Experiment reproduction,3,77.3,72.84,6
P024,Light-assisted workflow,Experiment reproduction,4,79.37,64.48,1
P024,Light-assisted workflow,Paper argumentation,0,65.32,71.13,7
P024,Light-assisted workflow,Paper argumentation,1,69.26,80.73,7
P024,Light-assisted workflow,Paper argumentation,2,70.74,66.43,3
P024,Light-assisted workflow,Paper argumentation,3,69.24,69.8,3
P024,Light-assisted workflow,Paper argumentation,4,79.08,68.24,0
P025,Baseline workflow,Literature mapping,0,49.4,79.72,3
P025,Baseline workflow,Literature mapping,1,55.57,76.91,1
P025,Baseline workflow,Literature mapping,2,60.63,50.42,3
P025,Baseline workflow,Literature mapping,3,64.55,75.5,5
P025,Baseline workflow,Literature mapping,4,68.42,64.49,4
P025,Baseline workflow,Experiment reproduction,0,41.44,89.0,8
P025,Baseline workflow,Experiment reproduction,1,48.67,90.53,8
P025,Baseline workflow,Experiment reproduction,2,53.7,80.7,5
P025,Baseline workflow,Experiment reproduction,3,61.66,88.9,3
P025,Baseline workflow,Experiment reproduction,4,61.8,80.7,3
P025,Baseline workflow,Paper argumentation,0,53.41,84.27,4
P025,Baseline workflow,Paper argumentation,1,51.51,85.8,3
P025,Baseline workflow,Paper argumentation,2,57.97,76.48,5
P025,Baseline workflow,Paper argumentation,3,60.79,74.92,0
P025,Baseline workflow,Paper argumentation,4,63.13,71.55,3
P026,Baseline workflow,Literature mapping,0,57.93,80.95,4
P026,Baseline workflow,Literature mapping,1,57.39,71.84,5
P026,Baseline workflow,Literature mapping,2,62.12,60.08,3
P026,Baseline workflow,Literature mapping,3,66.94,66.16,1
P026,Baseline workflow,Literature mapping,4,71.33,53.78,3
P026,Baseline workflow,Experiment reproduction,0,51.57,94.94,4
P026,Baseline workflow,Experiment reproduction,1,60.34,90.96,5
P026,Baseline workflow,Experiment reproduction,2,56.36,88.37,4
P026,Baseline workflow,Experiment reproduction,3,63.6,91.64,6
P026,Baseline workflow,Experiment reproduction,4,64.06,76.94,1
P026,Baseline workflow,Paper argumentation,0,55.19,89.18,4
P026,Baseline workflow,Paper argumentation,1,61.8,93.84,3
P026,Baseline workflow,Paper argumentation,2,66.31,78.46,8
P026,Baseline workflow,Paper argumentation,3,67.62,74.69,2
P026,Baseline workflow,Paper argumentation,4,74.51,71.62,1
P027,Light-assisted workflow,Literature mapping,0,64.33,77.59,3
P027,Light-assisted workflow,Literature mapping,1,60.72,60.29,4
P027,Light-assisted workflow,Literature mapping,2,65.13,64.79,3
P027,Light-assisted workflow,Literature mapping,3,85.84,61.51,1
P027,Light-assisted workflow,Literature mapping,4,77.57,56.57,1
P027,Light-assisted workflow,Experiment reproduction,0,59.1,83.5,3
P027,Light-assisted workflow,Experiment reproduction,1,58.97,88.62,4
P027,Light-assisted workflow,Experiment reproduction,2,62.2,78.85,3
P027,Light-assisted workflow,Experiment reproduction,3,76.74,76.97,1
P027,Light-assisted workflow,Experiment reproduction,4,72.57,64.68,3
P027,Light-assisted workflow,Paper argumentation,0,53.67,79.5,3
P027,Light-assisted workflow,Paper argumentation,1,59.02,88.87,1
P027,Light-assisted workflow,Paper argumentation,2,60.16,77.62,3
P027,Light-assisted workflow,Paper argumentation,3,62.76,74.37,1
P027,Light-assisted workflow,Paper argumentation,4,65.22,82.2,3
P028,Light-assisted workflow,Literature mapping,0,45.19,81.02,2
P028,Light-assisted workflow,Literature mapping,1,59.38,63.18,4
P028,Light-assisted workflow,Literature mapping,2,62.4,69.51,2
P028,Light-assisted workflow,Literature mapping,3,71.79,55.85,1
P028,Light-assisted workflow,Literature mapping,4,76.08,48.61,0
P028,Light-assisted workflow,Experiment reproduction,0,55.57,98.18,5
P028,Light-assisted workflow,Experiment reproduction,1,57.05,86.05,2
P028,Light-assisted workflow,Experiment reproduction,2,63.12,93.79,4
P028,Light-assisted workflow,Experiment reproduction,3,68.09,88.79,3
P028,Light-assisted workflow,Experiment reproduction,4,65.93,71.0,1
P028,Light-assisted workflow,Paper argumentation,0,53.0,94.66,4
P028,Light-assisted workflow,Paper argumentation,1,51.74,92.13,4
P028,Light-assisted workflow,Paper argumentation,2,52.88,80.31,1
P028,Light-assisted workflow,Paper argumentation,3,51.94,85.5,1
P028,Light-assisted workflow,Paper argumentation,4,63.71,68.42,1
P029,Light-assisted workflow,Literature mapping,0,53.34,84.92,1
P029,Light-assisted workflow,Literature mapping,1,62.06,81.19,4
P029,Light-assisted workflow,Literature mapping,2,63.06,60.54,3
P029,Light-assisted workflow,Literature mapping,3,62.36,57.99,4
P029,Light-assisted workflow,Literature mapping,4,69.61,61.79,5
P029,Light-assisted workflow,Experiment reproduction,0,46.91,105.39,6
P029,Light-assisted workflow,Experiment reproduction,1,45.68,91.5,3
P029,Light-assisted workflow,Experiment reproduction,2,48.8,81.96,4
P029,Light-assisted workflow,Experiment reproduction,3,57.92,71.0,5
P029,Light-assisted workflow,Experiment reproduction,4,60.15,75.56,3
P029,Light-assisted workflow,Paper argumentation,0,49.54,85.76,1
P029,Light-assisted workflow,Paper argumentation,1,49.06,78.49,4
