condition_id,catalyst,loading_g_L,pH,irradiance_mW_cm2,scavenger,replicate,time_min,C_over_C0,absorbance_664nm
C002,TiO2,0.25,4.0,80,none,3,45,0.69818,0.74002
C002,TiO2,0.25,4.0,80,none,3,60,0.59804,0.62798
C002,TiO2,0.25,4.0,80,none,3,90,0.49351,0.52826
C002,TiO2,0.25,4.0,80,none,3,120,0.33947,0.34965
C003,TiO2,0.25,4.0,105,none,1,0,1.02174,1.06389
C003,TiO2,0.25,4.0,105,none,1,5,0.95759,1.00878
C003,TiO2,0.25,4.0,105,none,1,10,0.91654,0.95848
C003,TiO2,0.25,4.0,105,none,1,20,0.81828,0.84981
C003,TiO2,0.25,4.0,105,none,1,30,0.74872,0.79667
C003,TiO2,0.25,4.0,105,none,1,45,0.65051,0.68839
C003,TiO2,0.25,4.0,105,none,1,60,0.57164,0.59174
C003,TiO2,0.25,4.0,105,none,1,90,0.42899,0.44134
C003,TiO2,0.25,4.0,105,none,1,120,0.30118,0.33542
C003,TiO2,0.25,4.0,105,none,2,0,1.01252,1.06264
C003,TiO2,0.25,4.0,105,none,2,5,0.9616,1.02493
C003,TiO2,0.25,4.0,105,none,2,10,0.90733,0.95716
C003,TiO2,0.25,4.0,105,none,2,20,0.86561,0.92419
C003,TiO2,0.25,4.0,105,none,2,30,0.7366,0.76529
C003,TiO2,0.25,4.0,105,none,2,45,0.65186,0.68263
C003,TiO2,0.25,4.0,105,none,2,60,0.56688,0.59743
C003,TiO2,0.25,4.0,105,none,2,90,0.42802,0.44412
C003,TiO2,0.25,4.0,105,none,2,120,0.33776,0.35913
C003,TiO2,0.25,4.0,105,none,3,0,1.01172,1.04917
C003,TiO2,0.25,4.0,105,none,3,5,0.97539,1.02794
C003,TiO2,0.25,4.0,105,none,3,10,0.95139,1.00407
C003,TiO2,0.25,4.0,105,none,3,20,0.83981,0.88254
C003,TiO2,0.25,4.0,105,none,3,30,0.75314,0.77913
C003,TiO2,0.25,4.0,105,none,3,45,0.64815,0.69322
C003,TiO2,0.25,4.0,105,none,3,60,0.56075,0.57277
C003,TiO2,0.25,4.0,105,none,3,90,0.45091,0.47685
C003,TiO2,0.25,4.0,105,none,3,120,0.35907,0.38765
C004,TiO2,0.25,5.5,55,none,1,0,1.00835,1.06855
C004,TiO2,0.25,5.5,55,none,1,5,0.94631,1.00061
C004,TiO2,0.25,5.5,55,none,1,10,0.9038,0.94229
C004,TiO2,0.25,5.5,55,none,1,20,0.79071,0.83535
C004,TiO2,0.25,5.5,55,none,1,30,0.75675,0.79707
C004,TiO2,0.25,5.5,55,none,1,45,0.66523,0.70354
C004,TiO2,0.25,5.5,55,none,1,60,0.57932,0.61627
C004,TiO2,0.25,5.5,55,none,1,90,0.44421,0.46691
C004,TiO2,0.25,5.5,55,none,1,120,0.3349,0.35944
C004,TiO2,0.25,5.5,55,none,2,0,1.00919,1.06289
C004,TiO2,0.25,5.5,55,none,2,5,0.97883,1.02465
C004,TiO2,0.25,5.5,55,none,2,10,0.95445,1.00025
C004,TiO2,0.25,5.5,55,none,2,20,0.85607,0.91015
C004,TiO2,0.25,5.5,55,none,2,30,0.76572,0.79209
C004,TiO2,0.25,5.5,55,none,2,45,0.64526,0.66415
C004,TiO2,0.25,5.5,55,none,2,60,0.5489,0.58589
C004,TiO2,0.25,5.5,55,none,2,90,0.45772,0.48785
C004,TiO2,0.25,5.5,55,none,2,120,0.33428,0.33429
C004,TiO2,0.25,5.5,55,none,3,0,1.02155,1.06719
C004,TiO2,0.25,5.5,55,none,3,5,0.98091,1.02985
C004,TiO2,0.25,5.5,55,none,3,10,0.92087,0.96337
C004,TiO2,0.25,5.5,55,none,3,20,0.84411,0.88636
C004,TiO2,0.25,5.5,55,none,3,30,0.78776,0.82368
C004,TiO2,0.25,5.5,55,none,3,45,0.65955,0.68406
C004,TiO2,0.25,5.5,55,none,3,60,0.62588,0.64986
C004,TiO2,0.25,5.5,55,none,3,90,0.47943,0.49765
C004,TiO2,0.25,5.5,55,none,3,120,0.33273,0.35753
C005,TiO2,0.25,5.5,80,none,1,0,1.04097,1.09412
C005,TiO2,0.25,5.5,80,none,1,5,1.00712,1.05321
C005,TiO2,0.25,5.5,80,none,1,10,0.9377,0.98908
C005,TiO2,0.25,5.5,80,none,1,20,0.81569,0.86712
C005,TiO2,0.25,5.5,80,none,1,30,0.78207,0.82242
C005,TiO2,0.25,5.5,80,none,1,45,0.67413,0.71351
C005,TiO2,0.25,5.5,80,none,1,60,0.58205,0.61737
C005,TiO2,0.25,5.5,80,none,1,90,0.42375,0.43558
C005,TiO2,0.25,5.5,80,none,1,120,0.33931,0.35317
C005,TiO2,0.25,5.5,80,none,2,0,1.05273,1.09801
C005,TiO2,0.25,5.5,80,none,2,5,0.97429,1.039
C005,TiO2,0.25,5.5,80,none,2,10,0.94952,0.99281
C005,TiO2,0.25,5.5,80,none,2,20,0.85799,0.8939
C005,TiO2,0.25,5.5,80,none,2,30,0.76919,0.81976
C005,TiO2,0.25,5.5,80,none,2,45,0.65546,0.68661
C005,TiO2,0.25,5.5,80,none,2,60,0.56407,0.59385
C005,TiO2,0.25,5.5,80,none,2,90,0.43039,0.46763
C005,TiO2,0.25,5.5,80,none,2,120,0.32852,0.33718
C005,TiO2,0.25,5.5,80,none,3,0,0.98997,1.04649
C005,TiO2,0.25,5.5,80,none,3,5,0.98771,1.03848
C005,TiO2,0.25,5.5,80,none,3,10,0.88939,0.92561
C005,TiO2,0.25,5.5,80,none,3,20,0.8577,0.89316
C005,TiO2,0.25,5.5,80,none,3,30,0.75304,0.7894
C005,TiO2,0.25,5.5,80,none,3,45,0.63835,0.67155
C005,TiO2,0.25,5.5,80,none,3,60,0.53893,0.55384
C005,TiO2,0.25,5.5,80,none,3,90,0.38908,0.40372
C005,TiO2,0.25,5.5,80,none,3,120,0.30786,0.32236
C006,TiO2,0.25,5.5,105,none,1,0,0.97367,1.02706
C006,TiO2,0.25,5.5,105,none,1,5,0.93835,0.98759
C006,TiO2,0.25,5.5,105,none,1,10,0.88815,0.93083
C006,TiO2,0.25,5.5,105,none,1,20,0.77827,0.82743
C006,TiO2,0.25,5.5,105,none,1,30,0.73873,0.77452
C006,TiO2,0.25,5.5,105,none,1,45,0.60692,0.64813
C006,TiO2,0.25,5.5,105,none,1,60,0.50925,0.51716
C006,TiO2,0.25,5.5,105,none,1,90,0.34387,0.3738
C006,TiO2,0.25,5.5,105,none,1,120,0.25979,0.26618
C006,TiO2,0.25,5.5,105,none,2,0,1.02551,1.07597
C006,TiO2,0.25,5.5,105,none,2,5,0.99689,1.04667
C006,TiO2,0.25,5.5,105,none,2,10,0.9354,0.9892
C006,TiO2,0.25,5.5,105,none,2,20,0.81754,0.84761
C006,TiO2,0.25,5.5,105,none,2,30,0.74467,0.79611
C006,TiO2,0.25,5.5,105,none,2,45,0.59388,0.61174
C006,TiO2,0.25,5.5,105,none,2,60,0.52513,0.56051
C006,TiO2,0.25,5.5,105,none,2,90,0.42266,0.45109
C006,TiO2,0.25,5.5,105,none,2,120,0.32876,0.33864
C006,TiO2,0.25,5.5,105,none,3,0,1.05463,1.11253
C006,TiO2,0.25,5.5,105,none,3,5,0.9783,1.02611
C006,TiO2,0.25,5.5,105,none,3,10,0.92183,0.98086
C006,TiO2,0.25,5.5,105,none,3,20,0.80194,0.83388
C006,TiO2,0.25,5.5,105,none,3,30,0.74855,0.77843
C006,TiO2,0.25,5.5,105,none,3,45,0.60663,0.63388
C006,TiO2,0.25,5.5,105,none,3,60,0.55343,0.56303
C006,TiO2,0.25,5.5,105,none,3,90,0.39612,0.39763
C006,TiO2,0.25,5.5,105,none,3,120,0.22925,0.24311
C007,TiO2,0.25,7.0,55,none,1,0,0.97577,1.03119
C007,TiO2,0.25,7.0,55,none,1,5,0.90946,0.96748
C007,TiO2,0.25,7.0,55,none,1,10,0.90406,0.95802
C007,TiO2,0.25,7.0,55,none,1,20,0.81139,0.84657
C007,TiO2,0.25,7.0,55,none,1,30,0.70227,0.7372
C007,TiO2,0.25,7.0,55,none,1,45,0.59671,0.62702
C007,TiO2,0.25,7.0,55,none,1,60,0.53406,0.56247
C007,TiO2,0.25,7.0,55,none,1,90,0.42707,0.45871
C007,TiO2,0.25,7.0,55,none,1,120,0.3048,0.3335
C007,TiO2,0.25,7.0,55,none,2,0,1.04826,1.10641
C007,TiO2,0.25,7.0,55,none,2,5,0.99753,1.04217
C007,TiO2,0.25,7.0,55,none,2,10,0.92161,0.96739
C007,TiO2,0.25,7.0,55,none,2,20,0.85563,0.88764
C007,TiO2,0.25,7.0,55,none,2,30,0.74818,0.79651
C007,TiO2,0.25,7.0,55,none,2,45,0.63443,0.66342
C007,TiO2,0.25,7.0,55,none,2,60,0.54849,0.58951
C007,TiO2,0.25,7.0,55,none,2,90,0.44624,0.43913
C007,TiO2,0.25,7.0,55,none,2,120,0.32761,0.33018
C007,TiO2,0.25,7.0,55,none,3,0,0.98272,1.02223
C007,TiO2,0.25,7.0,55,none,3,5,0.94466,0.99658
C007,TiO2,0.25,7.0,55,none,3,10,0.90711,0.96561
C007,TiO2,0.25,7.0,55,none,3,20,0.78418,0.80523
C007,TiO2,0.25,7.0,55,none,3,30,0.75911,0.806
C007,TiO2,0.25,7.0,55,none,3,45,0.68745,0.72105
C007,TiO2,0.25,7.0,55,none,3,60,0.57594,0.59781
C007,TiO2,0.25,7.0,55,none,3,90,0.47144,0.49407
C007,TiO2,0.25,7.0,55,none,3,120,0.3441,0.35136
C008,TiO2,0.25,7.0,80,none,1,0,0.97963,1.03207
C008,TiO2,0.25,7.0,80,none,1,5,0.96876,1.01214
C008,TiO2,0.25,7.0,80,none,1,10,0.92926,0.97994
C008,TiO2,0.25,7.0,80,none,1,20,0.83393,0.87674
C008,TiO2,0.25,7.0,80,none,1,30,0.7567,0.79716
C008,TiO2,0.25,7.0,80,none,1,45,0.68061,0.72226
C008,TiO2,0.25,7.0,80,none,1,60,0.51068,0.53045
C008,TiO2,0.25,7.0,80,none,1,90,0.386,0.40417
C008,TiO2,0.25,7.0,80,none,1,120,0.31714,0.33616
C008,TiO2,0.25,7.0,80,none,2,0,0.99977,1.05753
C008,TiO2,0.25,7.0,80,none,2,5,0.94393,0.98188
C008,TiO2,0.25,7.0,80,none,2,10,0.89764,0.94506
C008,TiO2,0.25,7.0,80,none,2,20,0.82935,0.86807
C008,TiO2,0.25,7.0,80,none,2,30,0.71043,0.76197
C008,TiO2,0.25,7.0,80,none,2,45,0.64413,0.67767
C008,TiO2,0.25,7.0,80,none,2,60,0.54418,0.58551
C008,TiO2,0.25,7.0,80,none,2,90,0.43812,0.4665
C008,TiO2,0.25,7.0,80,none,2,120,0.27322,0.28621
C008,TiO2,0.25,7.0,80,none,3,0,1.00131,1.0593
C008,TiO2,0.25,7.0,80,none,3,5,0.98668,1.03107
C008,TiO2,0.25,7.0,80,none,3,10,0.90281,0.95071
C008,TiO2,0.25,7.0,80,none,3,20,0.83761,0.87714
C008,TiO2,0.25,7.0,80,none,3,30,0.73095,0.76876
C008,TiO2,0.25,7.0,80,none,3,45,0.63583,0.66607
C008,TiO2,0.25,7.0,80,none,3,60,0.53417,0.56644
C008,TiO2,0.25,7.0,80,none,3,90,0.42722,0.44767
C008,TiO2,0.25,7.0,80,none,3,120,0.28496,0.29511
C009,TiO2,0.25,7.0,105,none,1,0,1.00929,1.0678
C009,TiO2,0.25,7.0,105,none,1,5,0.97344,1.04206
C009,TiO2,0.25,7.0,105,none,1,10,0.90485,0.9636
C009,TiO2,0.25,7.0,105,none,1,20,0.8169,0.85398
C009,TiO2,0.25,7.0,105,none,1,30,0.73749,0.76083
C009,TiO2,0.25,7.0,105,none,1,45,0.65351,0.67863
C009,TiO2,0.25,7.0,105,none,1,60,0.48965,0.50223
C009,TiO2,0.25,7.0,105,none,1,90,0.38645,0.40288
C009,TiO2,0.25,7.0,105,none,1,120,0.26839,0.27367
C009,TiO2,0.25,7.0,105,none,2,0,0.99417,1.05192
C009,TiO2,0.25,7.0,105,none,2,5,0.94161,0.99504
C009,TiO2,0.25,7.0,105,none,2,10,0.88564,0.9216
C009,TiO2,0.25,7.0,105,none,2,20,0.80751,0.84455
C009,TiO2,0.25,7.0,105,none,2,30,0.73151,0.77504
C009,TiO2,0.25,7.0,105,none,2,45,0.63196,0.67151
C009,TiO2,0.25,7.0,105,none,2,60,0.51718,0.54187
C009,TiO2,0.25,7.0,105,none,2,90,0.41011,0.42519
C009,TiO2,0.25,7.0,105,none,2,120,0.28269,0.30243
C009,TiO2,0.25,7.0,105,none,3,0,0.98763,1.05063
C009,TiO2,0.25,7.0,105,none,3,5,0.94897,0.99551
C009,TiO2,0.25,7.0,105,none,3,10,0.87279,0.92135
C009,TiO2,0.25,7.0,105,none,3,20,0.79246,0.81764
C009,TiO2,0.25,7.0,105,none,3,30,0.73528,0.77456
C009,TiO2,0.25,7.0,105,none,3,45,0.60229,0.62924
C009,TiO2,0.25,7.0,105,none,3,60,0.49814,0.52701
C009,TiO2,0.25,7.0,105,none,3,90,0.33824,0.34971
C009,TiO2,0.25,7.0,105,none,3,120,0.25702,0.27413
C010,TiO2,0.25,8.5,55,none,1,0,0.99174,1.02913
C010,TiO2,0.25,8.5,55,none,1,5,0.98559,1.03307
C010,TiO2,0.25,8.5,55,none,1,10,0.94368,0.98822
C010,TiO2,0.25,8.5,55,none,1,20,0.84994,0.8958
C010,TiO2,0.25,8.5,55,none,1,30,0.80836,0.85021
C010,TiO2,0.25,8.5,55,none,1,45,0.71074,0.74071
C010,TiO2,0.25,8.5,55,none,1,60,0.60903,0.63746
C010,TiO2,0.25,8.5,55,none,1,90,0.47416,0.50067
C010,TiO2,0.25,8.5,55,none,1,120,0.34762,0.3661
C010,TiO2,0.25,8.5,55,none,2,0,0.95126,1.00456
C010,TiO2,0.25,8.5,55,none,2,5,0.9534,1.00168
C010,TiO2,0.25,8.5,55,none,2,10,0.93321,0.98568
C010,TiO2,0.25,8.5,55,none,2,20,0.84197,0.88002
C010,TiO2,0.25,8.5,55,none,2,30,0.74301,0.79414
C010,TiO2,0.25,8.5,55,none,2,45,0.65135,0.69423
C010,TiO2,0.25,8.5,55,none,2,60,0.59072,0.62627
C010,TiO2,0.25,8.5,55,none,2,90,0.44223,0.4658
C010,TiO2,0.25,8.5,55,none,2,120,0.35272,0.37224
C010,TiO2,0.25,8.5,55,none,3,0,1.0072,1.0633
C010,TiO2,0.25,8.5,55,none,3,5,0.92702,0.96861
C010,TiO2,0.25,8.5,55,none,3,10,0.93171,0.97371
C010,TiO2,0.25,8.5,55,none,3,20,0.87892,0.91476
C010,TiO2,0.25,8.5,55,none,3,30,0.80845,0.82707
C010,TiO2,0.25,8.5,55,none,3,45,0.67711,0.70682
C010,TiO2,0.25,8.5,55,none,3,60,0.65222,0.68269
C010,TiO2,0.25,8.5,55,none,3,90,0.44771,0.46404
C010,TiO2,0.25,8.5,55,none,3,120,0.35839,0.36554
C011,TiO2,0.25,8.5,80,none,1,0,0.98124,1.04464
C011,TiO2,0.25,8.5,80,none,1,5,0.96538,1.00566
C011,TiO2,0.25,8.5,80,none,1,10,0.93689,0.98144
C011,TiO2,0.25,8.5,80,none,1,20,0.87578,0.91682
C011,TiO2,0.25,8.5,80,none,1,30,0.77581,0.81129
C011,TiO2,0.25,8.5,80,none,1,45,0.64104,0.68071
C011,TiO2,0.25,8.5,80,none,1,60,0.61806,0.65387
C011,TiO2,0.25,8.5,80,none,1,90,0.44226,0.46956
C011,TiO2,0.25,8.5,80,none,1,120,0.34917,0.37408
C011,TiO2,0.25,8.5,80,none,2,0,1.02279,1.06452
C011,TiO2,0.25,8.5,80,none,2,5,0.95054,0.98249
C011,TiO2,0.25,8.5,80,none,2,10,0.94592,0.9958
C011,TiO2,0.25,8.5,80,none,2,20,0.84373,0.88865
C011,TiO2,0.25,8.5,80,none,2,30,0.75961,0.81466
C011,TiO2,0.25,8.5,80,none,2,45,0.64035,0.66502
C011,TiO2,0.25,8.5,80,none,2,60,0.61348,0.64409
C011,TiO2,0.25,8.5,80,none,2,90,0.47131,0.47518
C011,TiO2,0.25,8.5,80,none,2,120,0.34669,0.373
C011,TiO2,0.25,8.5,80,none,3,0,1.00599,1.05684
C011,TiO2,0.25,8.5,80,none,3,5,0.93953,0.97192
C011,TiO2,0.25,8.5,80,none,3,10,0.90368,0.94011
C011,TiO2,0.25,8.5,80,none,3,20,0.83695,0.88244
C011,TiO2,0.25,8.5,80,none,3,30,0.76275,0.80785
C011,TiO2,0.25,8.5,80,none,3,45,0.70409,0.72723
C011,TiO2,0.25,8.5,80,none,3,60,0.58173,0.61625
C011,TiO2,0.25,8.5,80,none,3,90,0.43196,0.44724
C011,TiO2,0.25,8.5,80,none,3,120,0.33491,0.34896
C012,TiO2,0.25,8.5,105,none,1,0,1.04925,1.10381
C012,TiO2,0.25,8.5,105,none,1,5,1.01755,1.06095
C012,TiO2,0.25,8.5,105,none,1,10,0.93326,0.98411
C012,TiO2,0.25,8.5,105,none,1,20,0.83671,0.87103
C012,TiO2,0.25,8.5,105,none,1,30,0.78459,0.81805
C012,TiO2,0.25,8.5,105,none,1,45,0.63083,0.66042
C012,TiO2,0.25,8.5,105,none,1,60,0.55034,0.58778
C012,TiO2,0.25,8.5,105,none,1,90,0.42521,0.44517
C012,TiO2,0.25,8.5,105,none,1,120,0.33284,0.34425
C012,TiO2,0.25,8.5,105,none,2,0,1.02451,1.07058
C012,TiO2,0.25,8.5,105,none,2,5,0.98901,1.03847
C012,TiO2,0.25,8.5,105,none,2,10,0.93701,0.99485
C012,TiO2,0.25,8.5,105,none,2,20,0.81184,0.84754
C012,TiO2,0.25,8.5,105,none,2,30,0.78829,0.83158
C012,TiO2,0.25,8.5,105,none,2,45,0.67468,0.71004
C012,TiO2,0.25,8.5,105,none,2,60,0.58395,0.62553
C012,TiO2,0.25,8.5,105,none,2,90,0.39683,0.40981
C012,TiO2,0.25,8.5,105,none,2,120,0.30156,0.31605
C012,TiO2,0.25,8.5,105,none,3,0,1.02792,1.07751
C012,TiO2,0.25,8.5,105,none,3,5,0.99113,1.03431
C012,TiO2,0.25,8.5,105,none,3,10,0.90468,0.94583
C012,TiO2,0.25,8.5,105,none,3,20,0.81427,0.83814
C012,TiO2,0.25,8.5,105,none,3,30,0.73685,0.76711
C012,TiO2,0.25,8.5,105,none,3,45,0.63662,0.65396
C012,TiO2,0.25,8.5,105,none,3,60,0.49164,0.52196
C012,TiO2,0.25,8.5,105,none,3,90,0.41457,0.44813
C012,TiO2,0.25,8.5,105,none,3,120,0.34651,0.36158
C013,TiO2,0.5,4.0,55,none,1,0,1.02302,1.07665
C013,TiO2,0.5,4.0,55,none,1,5,0.97508,1.02645
C013,TiO2,0.5,4.0,55,none,1,10,0.90955,0.95799
C013,TiO2,0.5,4.0,55,none,1,20,0.81659,0.85366
C013,TiO2,0.5,4.0,55,none,1,30,0.77316,0.81734
C013,TiO2,0.5,4.0,55,none,1,45,0.68259,0.72377
C013,TiO2,0.5,4.0,55,none,1,60,0.60306,0.62589
C013,TiO2,0.5,4.0,55,none,1,90,0.43728,0.47565
C013,TiO2,0.5,4.0,55,none,1,120,0.32678,0.34531
C013,TiO2,0.5,4.0,55,none,2,0,1.04795,1.10318
C013,TiO2,0.5,4.0,55,none,2,5,0.99545,1.04607
C013,TiO2,0.5,4.0,55,none,2,10,0.92772,0.97412
C013,TiO2,0.5,4.0,55,none,2,20,0.87739,0.90733
C013,TiO2,0.5,4.0,55,none,2,30,0.75464,0.7882
C013,TiO2,0.5,4.0,55,none,2,45,0.67044,0.69992
C013,TiO2,0.5,4.0,55,none,2,60,0.63731,0.66219
C013,TiO2,0.5,4.0,55,none,2,90,0.49343,0.50927
C013,TiO2,0.5,4.0,55,none,2,120,0.31023,0.30553
C013,TiO2,0.5,4.0,55,none,3,0,0.99563,1.04104
C013,TiO2,0.5,4.0,55,none,3,5,0.98979,1.02686
C013,TiO2,0.5,4.0,55,none,3,10,0.93288,0.96663
C013,TiO2,0.5,4.0,55,none,3,20,0.83227,0.87511
C013,TiO2,0.5,4.0,55,none,3,30,0.74243,0.77748
C013,TiO2,0.5,4.0,55,none,3,45,0.66741,0.70471
C013,TiO2,0.5,4.0,55,none,3,60,0.57513,0.60328
C013,TiO2,0.5,4.0,55,none,3,90,0.42371,0.42981
C013,TiO2,0.5,4.0,55,none,3,120,0.31131,0.32633
C014,TiO2,0.5,4.0,80,none,1,0,0.99389,1.04212
C014,TiO2,0.5,4.0,80,none,1,5,0.95859,1.01532
C014,TiO2,0.5,4.0,80,none,1,10,0.89468,0.94537
C014,TiO2,0.5,4.0,80,none,1,20,0.79618,0.8322
C014,TiO2,0.5,4.0,80,none,1,30,0.75907,0.80434
C014,TiO2,0.5,4.0,80,none,1,45,0.64674,0.67686
C014,TiO2,0.5,4.0,80,none,1,60,0.57404,0.59152
C014,TiO2,0.5,4.0,80,none,1,90,0.38449,0.4039
C014,TiO2,0.5,4.0,80,none,1,120,0.28397,0.29056
C014,TiO2,0.5,4.0,80,none,2,0,1.04708,1.08563
C014,TiO2,0.5,4.0,80,none,2,5,0.91677,0.95701
C014,TiO2,0.5,4.0,80,none,2,10,0.93397,0.98351
C014,TiO2,0.5,4.0,80,none,2,20,0.87683,0.91001
C014,TiO2,0.5,4.0,80,none,2,30,0.74146,0.7719
C014,TiO2,0.5,4.0,80,none,2,45,0.65918,0.7031
C014,TiO2,0.5,4.0,80,none,2,60,0.55933,0.58197
C014,TiO2,0.5,4.0,80,none,2,90,0.40305,0.42411
C014,TiO2,0.5,4.0,80,none,2,120,0.27102,0.27538
C014,TiO2,0.5,4.0,80,none,3,0,0.98481,1.02155
C014,TiO2,0.5,4.0,80,none,3,5,0.95329,0.9937
C014,TiO2,0.5,4.0,80,none,3,10,0.8856,0.93182
C014,TiO2,0.5,4.0,80,none,3,20,0.8351,0.88693
C014,TiO2,0.5,4.0,80,none,3,30,0.72923,0.75702
C014,TiO2,0.5,4.0,80,none,3,45,0.62624,0.66584
C014,TiO2,0.5,4.0,80,none,3,60,0.50155,0.52983
C014,TiO2,0.5,4.0,80,none,3,90,0.38828,0.40832
C014,TiO2,0.5,4.0,80,none,3,120,0.28941,0.29101
C015,TiO2,0.5,4.0,105,none,1,0,1.00244,1.04525
C015,TiO2,0.5,4.0,105,none,1,5,0.91902,0.95757
C015,TiO2,0.5,4.0,105,none,1,10,0.91203,0.9607
C015,TiO2,0.5,4.0,105,none,1,20,0.78612,0.83161
C015,TiO2,0.5,4.0,105,none,1,30,0.71845,0.76514
C015,TiO2,0.5,4.0,105,none,1,45,0.60767,0.64834
C015,TiO2,0.5,4.0,105,none,1,60,0.53212,0.55376
C015,TiO2,0.5,4.0,105,none,1,90,0.34939,0.37021
C015,TiO2,0.5,4.0,105,none,1,120,0.26219,0.27476
C015,TiO2,0.5,4.0,105,none,2,0,1.04276,1.09996
C015,TiO2,0.5,4.0,105,none,2,5,0.97771,1.03206
C015,TiO2,0.5,4.0,105,none,2,10,0.89705,0.93496
C015,TiO2,0.5,4.0,105,none,2,20,0.81888,0.872
C015,TiO2,0.5,4.0,105,none,2,30,0.72303,0.74891
C015,TiO2,0.5,4.0,105,none,2,45,0.63806,0.67002
C015,TiO2,0.5,4.0,105,none,2,60,0.5103,0.53581
C015,TiO2,0.5,4.0,105,none,2,90,0.38463,0.39375
C015,TiO2,0.5,4.0,105,none,2,120,0.25825,0.28396
C015,TiO2,0.5,4.0,105,none,3,0,1.00397,1.0626
C015,TiO2,0.5,4.0,105,none,3,5,0.92373,0.9715
C015,TiO2,0.5,4.0,105,none,3,10,0.89733,0.93952
C015,TiO2,0.5,4.0,105,none,3,20,0.79621,0.82306
C015,TiO2,0.5,4.0,105,none,3,30,0.73181,0.76984
C015,TiO2,0.5,4.0,105,none,3,45,0.59432,0.6229
C015,TiO2,0.5,4.0,105,none,3,60,0.53653,0.56816
C015,TiO2,0.5,4.0,105,none,3,90,0.37141,0.40281
C015,TiO2,0.5,4.0,105,none,3,120,0.27701,0.29635
C016,TiO2,0.5,5.5,55,none,1,0,1.01057,1.05287
C016,TiO2,0.5,5.5,55,none,1,5,0.96148,0.99564
C016,TiO2,0.5,5.5,55,none,1,10,0.93389,0.97474
